TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1467034591.439793,17.26299500465393,0,4.505260570525418,4.010521141050836,7,2.5294981002807617,52.165.35.82,5
1467034595.722148,17.980640172958374,0,4.9999536060530145,4.999907212106029,9,4.282179832458496,52.165.35.82,6
1467034597.317901,21.384887218475342,0,4.824248892866024,4.648497785732047,8,1.595503807067871,52.165.35.82,7
1467034598.427501,25.27528715133667,0,4.824248892866024,4.648497785732047,8,1.1094870567321777,52.165.35.82,8
1467034603.748098,24.9546902179718,0,4.9999536060530145,4.999907212106029,9,4.875324964523315,52.165.35.82,9
1467034609.390926,24.311862230300903,0,4.824248892866024,4.648497785732047,8,5.642689943313599,52.165.35.82,10
1467034611.500255,27.20253300666809,0,4.505260570525418,4.010521141050836,7,2.1092100143432617,52.165.35.82,11
1467034615.329068,28.373720169067383,0,4.296191316158664,3.5923826323173285,6,1.6238489151000977,52.165.35.82,12
1467034621.626973,27.075815200805664,0,4.505260570525418,4.010521141050836,7,2.793973922729492,52.165.35.82,13
1467034625.815475,27.8873131275177,0,4.824248892866024,4.648497785732047,8,2.1103060245513916,52.165.35.82,14
1467034636.147696,22.555092096328735,0,4.9999536060530145,4.999907212106029,9,7.441823959350586,52.165.35.82,15
1467034638.70006,25.00272822380066,0,4.824248892866024,4.648497785732047,8,2.552250862121582,52.165.35.82,16
1467034640.687798,28.014990091323853,0,4.824248892866024,4.648497785732047,8,1.8534870147705078,52.165.35.82,17
1467034646.017436,27.685352087020874,0,4.505260570525418,4.010521141050836,7,2.3113839626312256,52.165.35.82,18
1467034651.314563,27.388225078582764,0,4.505260570525418,4.010521141050836,7,2.609135150909424,52.165.35.82,19
1467034656.895303,26.807485103607178,0,4.296191316158664,3.5923826323173285,6,3.189568042755127,52.165.35.82,20
1467034661.350208,27.352580070495605,0,4.296191316158664,3.5923826323173285,6,2.5002901554107666,52.165.35.82,21
1467034665.040768,28.662020206451416,0,4.296191316158664,3.5923826323173285,6,1.3353610038757324,52.165.35.82,22
1467034676.347325,22.3554630279541,0,4.9999536060530145,4.999907212106029,9,7.640616178512573,52.165.35.82,23
1467034680.051182,23.65160608291626,0,4.824248892866024,4.648497785732047,8,3.703766107559204,52.165.35.82,24
1467034683.769968,24.932820081710815,0,4.824248892866024,4.648497785732047,8,3.542703151702881,52.165.35.82,25
1467034689.385277,24.317511081695557,0,4.824248892866024,4.648497785732047,8,5.615147113800049,52.165.35.82,26
1467034692.400904,26.301884174346924,0,4.296191316158664,3.5923826323173285,6,3.0154850482940674,52.165.35.82,27
1467034696.811116,26.891672134399414,0,4.296191316158664,3.5923826323173285,6,3.1068480014801025,52.165.35.82,28
1467034701.547156,27.15563201904297,0,4.296191316158664,3.5923826323173285,6,2.7080941200256348,52.165.35.82,29
1467034705.845287,27.85750102996826,0,4.296191316158664,3.5923826323173285,6,2.1400811672210693,52.165.35.82,30
1467034710.845697,27.857091188430786,0,4.824248892866024,4.648497785732047,8,2.139819860458374,52.165.35.82,31
1467034718.523129,25.179659128189087,0,4.824248892866024,4.648497785732047,8,4.817301988601685,52.165.35.82,32
1467034722.258199,26.444589138031006,0,4.824248892866024,4.648497785732047,8,3.39005708694458,52.165.35.82,33
1467034725.179683,28.523105144500732,0,4.824248892866024,4.648497785732047,8,1.475066900253296,52.165.35.82,34
1467034734.354374,24.348414182662964,0,4.824248892866024,4.648497785732047,8,5.647864818572998,52.165.35.82,35
1467034739.385881,24.316907167434692,0,4.505260570525418,4.010521141050836,7,5.031369924545288,52.165.35.82,36
