TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1465538542.03,21.9722559452,0,4.99995360605,4.99990721211,9,2.25352597237,52.165.35.82,5
1465538543.57,25.4342689514,0,4.99995360605,4.99990721211,9,1.53745889664,52.165.35.82,6
1465538544.83,29.1720449924,0,4.99995360605,4.99990721211,9,0.827214002609,52.165.35.82,7
1465538549.82,29.1837038994,0,4.99995360605,4.99990721211,9,0.812580108643,52.165.35.82,8
1465538555.71,28.2949910164,0,4.99995360605,4.99990721211,9,1.53772592545,52.165.35.82,9
1465538560.39,28.6142919064,0,4.99995360605,4.99990721211,9,1.38296699524,52.165.35.82,10
1465538564.83,29.1701588631,0,4.99995360605,4.99990721211,9,0.826133966446,52.165.35.82,11
1465538570.25,28.7574617863,0,4.99995360605,4.99990721211,9,1.23883605003,52.165.35.82,12
1465538577.07,26.9304938316,0,4.99995360605,4.99990721211,9,2.64837002754,52.165.35.82,13
1465538582.3,26.7047109604,0,4.99995360605,4.99990721211,9,3.29306387901,52.165.35.82,14
1465538587.5,26.5006639957,0,4.82424889287,4.64849778573,8,3.49761986732,52.165.35.82,15
1465538591.76,27.2489027977,0,4.99995360605,4.99990721211,9,2.74932122231,52.165.35.82,16
1465538595.97,28.0318148136,0,4.82424889287,4.64849778573,8,1.40715003014,52.165.35.82,17
1465538602.11,26.8904628754,0,4.82424889287,4.64849778573,8,3.1068520546,52.165.35.82,18
1465538606.42,27.5879728794,0,4.50526057053,4.01052114105,7,2.41033101082,52.165.35.82,19
1465538612.11,26.8960030079,0,4.50526057053,4.01052114105,7,3.10131287575,52.165.35.82,20
1465538615.69,28.3115489483,0,4.50526057053,4.01052114105,7,1.26750683784,52.165.35.82,21
1465538625.96,23.0437347889,0,4.99995360605,4.99990721211,9,6.95257401466,52.165.35.82,22
1465538630.75,23.2573540211,0,4.50526057053,4.01052114105,7,4.78606677055,52.165.35.82,23
1465538633.75,25.2555058002,0,4.82424889287,4.64849778573,8,3.00156116486,52.165.35.82,24
1465538640.44,23.5648469925,0,4.99995360605,4.99990721211,9,5.9372048378,52.165.35.82,25
1465538643.88,25.1240668297,0,4.50526057053,4.01052114105,7,3.43869805336,52.165.35.82,26
1465538647.13,26.8738098145,0,4.50526057053,4.01052114105,7,3.12568306923,52.165.35.82,27
1465538652.88,26.1229310036,0,4.50526057053,4.01052114105,7,3.87537193298,52.165.35.82,28
1465538657.11,26.8965668678,0,4.50526057053,4.01052114105,7,2.64744400978,52.165.35.82,29
1465538662.3,26.7090308666,0,4.82424889287,4.64849778573,8,3.28913402557,52.165.35.82,30
1465538667.5,26.5029199123,0,4.82424889287,4.64849778573,8,3.49538302422,52.165.35.82,31
1465538673.96,25.046628952,0,4.50526057053,4.01052114105,7,4.9516890049,52.165.35.82,32
1465538677.9,26.1036198139,0,4.50526057053,4.01052114105,7,3.44042015076,52.165.35.82,33
