TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1465538506.27,21.2607860565,0,4.99995360605,4.99990721211,9,2.55228209496,52.165.35.82,5
1465538508.13,24.4031860828,0,4.99995360605,4.99990721211,9,1.85747289658,52.165.35.82,6
1465538508.96,28.5675060749,0,4.99995360605,4.99990721211,9,0.835583925247,52.165.35.82,7
1465538513.57,28.9643781185,0,4.99995360605,4.99990721211,9,1.03253793716,52.165.35.82,8
1465538519.82,27.7078371048,0,4.99995360605,4.99990721211,9,1.94541096687,52.165.35.82,9
1465538524.74,27.7936890125,0,4.99995360605,4.99990721211,9,2.20416498184,52.165.35.82,10
1465538528.43,29.1032261848,0,4.99995360605,4.99990721211,9,0.894450902939,52.165.35.82,11
1465538533.97,28.556540966,0,4.99995360605,4.99990721211,9,1.4391720295,52.165.35.82,12
1465538541.82,25.7064039707,0,4.99995360605,4.99990721211,9,3.93707513809,52.165.35.82,13
1465538543.94,28.5860061646,0,4.82424889287,4.64849778573,8,1.41307997704,52.165.35.82,14
1465538551.21,26.3245141506,0,4.99995360605,4.99990721211,9,3.6723678112,52.165.35.82,15
1465538553.83,28.7027161121,0,4.99995360605,4.99990721211,9,1.2961640358,52.165.35.82,16
1465538558.82,28.7135601044,0,4.99995360605,4.99990721211,9,0.85312795639,52.165.35.82,17
1465538563.84,28.6855390072,0,4.99995360605,4.99990721211,9,1.31126594543,52.165.35.82,18
1465538568.79,28.7426731586,0,4.99995360605,4.99990721211,9,1.25423884392,52.165.35.82,19
1465538574.85,27.6801011562,0,4.99995360605,4.99990721211,9,2.31682181358,52.165.35.82,20
1465538582.89,24.6444001198,0,4.99995360605,4.99990721211,9,4.93812704086,52.165.35.82,21
1465538585.34,27.1909179688,0,4.82424889287,4.64849778573,8,2.453384161,52.165.35.82,22
1465538592.42,25.108795166,0,4.99995360605,4.99990721211,9,4.88912081718,52.165.35.82,23
1465538595.39,27.1408030987,0,4.99995360605,4.99990721211,9,2.85889101028,52.165.35.82,24
1465538600.72,26.813450098,0,4.99995360605,4.99990721211,9,2.80615997314,52.165.35.82,25
1465538605.17,27.356069088,0,4.99995360605,4.99990721211,9,2.64256501198,52.165.35.82,26
1465538611.24,26.2885990143,0,4.99995360605,4.99990721211,9,3.7092730999,52.165.35.82,27
1465538614.38,28.1475741863,0,4.82424889287,4.64849778573,8,1.85068893433,52.165.35.82,28
1465538620.48,27.0470919609,0,4.99995360605,4.99990721211,9,2.35099101067,52.165.35.82,29
1465538626.3,26.2313840389,0,4.99995360605,4.99990721211,9,3.76654005051,52.165.35.82,30
1465538629.46,28.0708370209,0,4.82424889287,4.64849778573,8,1.92775297165,52.165.35.82,31
1465538635.13,27.3974151611,0,4.82424889287,4.64849778573,8,2.59941983223,52.165.35.82,32
1465538642.53,25.0036740303,0,4.99995360605,4.99990721211,9,4.58943796158,52.165.35.82,33
1465538643.97,28.5645561218,0,4.82424889287,4.64849778573,8,1.43517899513,52.165.35.82,34
1465538650.51,27.0150091648,0,4.82424889287,4.64849778573,8,2.98132801056,52.165.35.82,35
1465538656.58,25.9465401173,0,4.99995360605,4.99990721211,9,4.05138587952,52.165.35.82,36
1465538660.88,26.6481330395,0,4.99995360605,4.99990721211,9,2.88861012459,52.165.35.82,37
1465538665.53,27.0045781136,0,4.99995360605,4.99990721211,9,2.99418187141,52.165.35.82,38
1465538671.4,26.1266920567,0,4.99995360605,4.99990721211,9,3.87119889259,52.165.35.82,39
1465538675.85,26.6841411591,0,4.82424889287,4.64849778573,8,3.31455183029,52.165.35.82,40
1465538679.36,28.1659491062,0,4.50526057053,4.01052114105,7,1.38591885567,52.165.35.82,41
1465538686.59,25.9438281059,0,4.99995360605,4.99990721211,9,4.05299091339,52.165.35.82,42
1465538692.56,24.9725871086,0,4.99995360605,4.99990721211,9,5.02606987953,52.165.35.82,43
1465538695.15,27.3775420189,0,4.50526057053,4.01052114105,7,2.59494900703,52.165.35.82,44
1465538700.22,27.3146309853,0,4.50526057053,4.01052114105,7,2.06698203087,52.165.35.82,45
1465538705.81,26.717416048,0,4.99995360605,4.99990721211,9,3.28050613403,52.165.35.82,46
1465538711.28,26.2480139732,0,4.82424889287,4.64849778573,8,3.75079202652,52.165.35.82,47
1465538716.1,26.4332671165,0,4.50526057053,4.01052114105,7,3.56564688683,52.165.35.82,48
1465538722.68,24.8517861366,0,4.99995360605,4.99990721211,9,4.71951389313,52.165.35.82,49
1465538726.68,25.8475010395,0,4.82424889287,4.64849778573,8,4.00415706635,52.165.35.82,50
1465538729.78,27.7497050762,0,4.82424889287,4.64849778573,8,2.24918293953,52.165.35.82,51
1465538734.96,27.5735650063,0,4.99995360605,4.99990721211,9,2.42414808273,52.165.35.82,52
1465538742.93,24.6015050411,0,4.99995360605,4.99990721211,9,4.96263813972,52.165.35.82,53
1465538745.87,26.6636040211,0,4.82424889287,4.64849778573,8,2.93780398369,52.165.35.82,54
1465538754.34,23.1937170029,0,4.99995360605,4.99990721211,9,6.80512404442,52.165.35.82,55
1465538757.13,25.3958611488,0,4.50526057053,4.01052114105,7,2.79775881767,52.165.35.82,56
1465538760.04,27.490142107,0,4.82424889287,4.64849778573,8,2.04581594467,52.165.35.82,57
1465538764.66,27.8649749756,0,4.50526057053,4.01052114105,7,2.13286304474,52.165.35.82,58
1465538771.02,26.5059571266,0,4.82424889287,4.64849778573,8,3.49168491364,52.165.35.82,59
1465538778.14,24.3898119926,0,4.50526057053,4.01052114105,7,5.60885214806,52.165.35.82,60
1465538782.05,25.4789741039,0,4.82424889287,4.64849778573,8,3.48703694344,52.165.35.82,61
1465538784.52,28.0087189674,0,4.82424889287,4.64849778573,8,1.99065208435,52.165.35.82,62
1465538789.73,27.8016309738,0,4.99995360605,4.99990721211,9,2.19502520561,52.165.35.82,63
1465538794.48,28.0483081341,0,4.99995360605,4.99990721211,9,1.94943904877,52.165.35.82,64
1465538800.64,26.8905050755,0,4.99995360605,4.99990721211,9,2.70174098015,52.165.35.82,65
1465538805.12,27.4047250748,0,4.99995360605,4.99990721211,9,2.59403610229,52.165.35.82,66
1465538809.91,27.6169631481,0,4.82424889287,4.64849778573,8,2.38069987297,52.165.35.82,67
1465538814.46,28.0663640499,0,4.50526057053,4.01052114105,7,1.93152403831,52.165.35.82,68
1465538822.89,24.6389770508,0,4.99995360605,4.99990721211,9,4.94431304932,52.165.35.82,69
1465538828.94,23.5909991264,0,4.99995360605,4.99990721211,9,6.04788088799,52.165.35.82,70
1465538834.07,23.4621651173,0,4.82424889287,4.64849778573,8,5.12872385979,52.165.35.82,71
1465538837.02,25.5085971355,0,4.82424889287,4.64849778573,8,2.95347094536,52.165.35.82,72
1465538840.43,27.0993270874,0,4.82424889287,4.64849778573,8,2.49834990501,52.165.35.82,73
1465538845.13,27.3978760242,0,4.99995360605,4.99990721211,9,2.59993696213,52.165.35.82,74
1465538850.42,27.113296032,0,4.82424889287,4.64849778573,8,2.88460493088,52.165.35.82,75
1465538854.03,28.5031449795,0,4.50526057053,4.01052114105,7,1.49458909035,52.165.35.82,76
1465538858.68,28.845785141,0,4.50526057053,4.01052114105,7,0.766873836517,52.165.35.82,77
1465538863.66,28.8738789558,0,4.82424889287,4.64849778573,8,1.12292218208,52.165.35.82,78
1465538869.41,28.1229350567,0,4.99995360605,4.99990721211,9,1.87398195267,52.165.35.82,79
1465538874.53,27.9982881546,0,4.99995360605,4.99990721211,9,1.99857187271,52.165.35.82,80
1465538879.3,28.2302939892,0,4.82424889287,4.64849778573,8,1.32065701485,52.165.35.82,81
1465538885.07,27.4576621056,0,4.99995360605,4.99990721211,9,2.53899502754,52.165.35.82,82
1465538891.84,25.6872780323,0,4.99995360605,4.99990721211,9,4.3105840683,52.165.35.82,83
1465538900.19,22.3434891701,0,4.50526057053,4.01052114105,7,7.65565085411,52.165.35.82,84
1465538905.92,21.608025074,0,4.82424889287,4.64849778573,8,5.31943106651,52.165.35.82,85
1465538912.39,20.1380751133,0,4.82424889287,4.64849778573,8,6.46983885765,52.165.35.82,86
1465538915.4,22.1336109638,0,4.82424889287,4.64849778573,8,3.00435519218,52.165.35.82,87
1465538919.4,23.1327781677,0,4.50526057053,4.01052114105,7,4.00073599815,52.165.35.82,88
1465538922.01,25.5236480236,0,4.82424889287,4.64849778573,8,2.21457195282,52.165.35.82,89
1465538924.65,27.8825249672,0,4.50526057053,4.01052114105,7,2.11679005623,52.165.35.82,90
1465538929.39,28.144657135,0,4.50526057053,4.01052114105,7,1.85278391838,52.165.35.82,91
1465538939.39,23.1347589493,0,4.82424889287,4.64849778573,8,6.86195611954,52.165.35.82,92
1465538946.38,21.1453299522,0,4.82424889287,4.64849778573,8,6.57764911652,52.165.35.82,93
1465538949.09,23.4412121773,0,4.82424889287,4.64849778573,8,2.70401978493,52.165.35.82,94
1465538951.87,25.6598169804,0,4.82424889287,4.64849778573,8,2.78126716614,52.165.35.82,95
1465538954.39,28.1444840431,0,4.50526057053,4.01052114105,7,1.85457491875,52.165.35.82,96
1465538959.75,27.7809591293,0,4.50526057053,4.01052114105,7,1.8576259613,52.165.35.82,97
1465538964.89,27.6393151283,0,4.50526057053,4.01052114105,7,2.35824990273,52.165.35.82,98
1465538970.55,26.9801580906,0,4.50526057053,4.01052114105,7,3.01764893532,52.165.35.82,99
1465538975.81,26.7244269848,0,4.50526057053,4.01052114105,7,3.27343702316,52.165.35.82,100
1465538983.63,23.8952000141,0,4.82424889287,4.64849778573,8,5.69585514069,52.165.35.82,101
1465538987.59,24.93957901,0,4.82424889287,4.64849778573,8,3.95552396774,52.165.35.82,102
1465538991.34,26.1881439686,0,4.82424889287,4.64849778573,8,3.75133800507,52.165.35.82,103
