TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1465538552.22,16.63022995,0,4.82424889287,4.64849778573,8,4.02486491203,52.165.35.82,5
1465538555.51,18.3472800255,0,4.82424889287,4.64849778573,8,3.28277993202,52.165.35.82,6
1465538557.09,21.7682509422,0,4.82424889287,4.64849778573,8,1.57889389992,52.165.35.82,7
1465538558.96,24.8935828209,0,4.82424889287,4.64849778573,8,1.87452316284,52.165.35.82,8
1465538563.49,25.3618450165,0,4.82424889287,4.64849778573,8,4.14029192924,52.165.35.82,9
1465538568.34,25.5140309334,0,4.82424889287,4.64849778573,8,4.4845199585,52.165.35.82,10
1465538570.93,27.9187309742,0,4.82424889287,4.64849778573,8,2.08048200607,52.165.35.82,11
1465538576.53,27.3251228333,0,4.82424889287,4.64849778573,8,2.671875,52.165.35.82,12
1465538583.59,25.2612879276,0,4.82424889287,4.64849778573,8,4.24128198624,52.165.35.82,13
1465538587.39,26.4639699459,0,4.82424889287,4.64849778573,8,3.53534507751,52.165.35.82,14
1465538594.27,24.5825560093,0,4.50526057053,4.01052114105,7,5.41612100601,52.165.35.82,15
1465538597.38,26.470459938,0,4.82424889287,4.64849778573,8,3.11196994781,52.165.35.82,16
1465538600.57,28.283523798,0,4.50526057053,4.01052114105,7,1.06674599648,52.165.35.82,17
1465538606.55,27.3079237938,0,4.82424889287,4.64849778573,8,2.68796920776,52.165.35.82,18
1465538610.89,27.9606540203,0,4.50526057053,4.01052114105,7,2.03729200363,52.165.35.82,19
1465538616.53,27.3286039829,0,4.50526057053,4.01052114105,7,2.6683819294,52.165.35.82,20
1465538623.12,25.7340300083,0,4.82424889287,4.64849778573,8,3.89200782776,52.165.35.82,21
1465538628.42,25.4347829819,0,4.50526057053,4.01052114105,7,4.56389689445,52.165.35.82,22
1465538633.47,25.3845069408,0,4.50526057053,4.01052114105,7,4.61447095871,52.165.35.82,23
1465538639.16,24.6957259178,0,4.82424889287,4.64849778573,8,5.30340909958,52.165.35.82,24
1465538642.52,26.3316259384,0,4.50526057053,4.01052114105,7,2.98263788223,52.165.35.82,25
1465538646.2,27.657075882,0,4.50526057053,4.01052114105,7,2.34149312973,52.165.35.82,26
1465538653.54,25.3101069927,0,4.82424889287,4.64849778573,8,4.68762302399,52.165.35.82,27
1465538657.64,26.2153739929,0,4.50526057053,4.01052114105,7,3.78391885757,52.165.35.82,28
1465538661.89,26.9603219032,0,4.50526057053,4.01052114105,7,2.68405199051,52.165.35.82,29
1465538667.63,26.2219610214,0,4.82424889287,4.64849778573,8,3.77661395073,52.165.35.82,30
1465538671.63,27.2214097977,0,4.82424889287,4.64849778573,8,2.77726912498,52.165.35.82,31
1465538679.47,24.3885598183,0,4.82424889287,4.64849778573,8,5.60911107063,52.165.35.82,32
1465538683.01,25.8405339718,0,4.50526057053,4.01052114105,7,3.03972101212,52.165.35.82,33
1465538686.03,27.8250808716,0,4.82424889287,4.64849778573,8,2.17421603203,52.165.35.82,34
1465538693.75,25.1019749641,0,4.50526057053,4.01052114105,7,4.89481782913,52.165.35.82,35
1465538698.55,25.3035728931,0,4.50526057053,4.01052114105,7,4.69608402252,52.165.35.82,36
1465538703.18,25.6767249107,0,4.50526057053,4.01052114105,7,3.85554790497,52.165.35.82,37
1465538707.43,26.4262897968,0,4.50526057053,4.01052114105,7,3.57216906548,52.165.35.82,38
1465538712.03,26.826887846,0,4.50526057053,4.01052114105,7,3.17172813416,52.165.35.82,39
1465538715.94,27.9159920216,0,4.50526057053,4.01052114105,7,2.08155989647,52.165.35.82,40
1465538723.46,25.3947768211,0,4.82424889287,4.64849778573,8,4.18304300308,52.165.35.82,41
1465538729.18,24.6750409603,0,4.50526057053,4.01052114105,7,5.32471704483,52.165.35.82,42
1465538731.32,27.5330479145,0,4.50526057053,4.01052114105,7,2.1418659687,52.165.35.82,43
1465538738.23,25.6240968704,0,4.82424889287,4.64849778573,8,4.37259411812,52.165.35.82,44
1465538743.51,25.3441319466,0,4.50526057053,4.01052114105,7,4.23469400406,52.165.35.82,45
1465538746.57,27.2815887928,0,4.50526057053,4.01052114105,7,2.71584200859,52.165.35.82,46
1465538751.01,27.8439610004,0,4.50526057053,4.01052114105,7,2.15350198746,52.165.35.82,47
1465538760.05,23.8073208332,0,4.50526057053,4.01052114105,7,6.19005703926,52.165.35.82,48
1465538764.36,24.49295187,0,4.50526057053,4.01052114105,7,3.86233305931,52.165.35.82,49
1465538767.41,26.4414258003,0,4.50526057053,4.01052114105,7,3.0508210659,52.165.35.82,50
1465538771.77,27.0811629295,0,4.50526057053,4.01052114105,7,2.91731095314,52.165.35.82,51
1465538777.03,26.8267719746,0,4.82424889287,4.64849778573,8,3.17042684555,52.165.35.82,52
1465538782.17,26.6832368374,0,4.82424889287,4.64849778573,8,2.94326615334,52.165.35.82,53
1465538789.5,24.3532919884,0,4.82424889287,4.64849778573,8,5.64508199692,52.165.35.82,54
1465538794.1,24.7522499561,0,4.82424889287,4.64849778573,8,4.60090684891,52.165.35.82,55
1465538798.53,25.3274698257,0,4.82424889287,4.64849778573,8,4.42463707924,52.165.35.82,56
1465538800.98,27.874778986,0,4.82424889287,4.64849778573,8,1.78371882439,52.165.35.82,57
1465538806.95,26.9013488293,0,4.50526057053,4.01052114105,7,3.0954041481,52.165.35.82,58
1465538811.96,26.8979189396,0,4.50526057053,4.01052114105,7,3.10061788559,52.165.35.82,59
1465538822.63,21.222026825,0,4.50526057053,4.01052114105,7,8.77563619614,52.165.35.82,60
1465538826.62,22.2359318733,0,4.50526057053,4.01052114105,7,2.49975204468,52.165.35.82,61
1465538829.87,23.9863579273,0,4.82424889287,4.64849778573,8,3.24944496155,52.165.35.82,62
1465538833.64,25.2171609402,0,4.82424889287,4.64849778573,8,3.76906394958,52.165.35.82,63
1465538837.7,26.154681921,0,4.82424889287,4.64849778573,8,3.84473991394,52.165.35.82,64
1465538842.95,25.9016768932,0,4.50526057053,4.01052114105,7,3.51679897308,52.165.35.82,65
1465538845.87,27.9815838337,0,4.50526057053,4.01052114105,7,2.01734900475,52.165.35.82,66
1465538850.95,27.8990828991,0,4.82424889287,4.64849778573,8,2.09804010391,52.165.35.82,67
1465538858.41,25.4462099075,0,4.82424889287,4.64849778573,8,4.55041909218,52.165.35.82,68
1465538865.22,23.6330749989,0,4.82424889287,4.64849778573,8,5.992582798,52.165.35.82,69
1465538869.68,24.1760458946,0,4.82424889287,4.64849778573,8,4.45690202713,52.165.35.82,70
1465538874.84,24.011911869,0,4.82424889287,4.64849778573,8,5.16400408745,52.165.35.82,71
