TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1465538458.64,17.1995530128,0,4.82424889287,4.64849778573,8,3.988063097,52.165.35.82,5
1465538461.66,19.1735360622,0,4.82424889287,4.64849778573,8,3.02586388588,52.165.35.82,6
1465538463.04,22.8013560772,0,4.82424889287,4.64849778573,8,1.3720729351,52.165.35.82,7
1465538464.69,26.1434800625,0,4.82424889287,4.64849778573,8,1.65776705742,52.165.35.82,8
1465538469.35,26.4837589264,0,4.82424889287,4.64849778573,8,3.14177513123,52.165.35.82,9
1465538474.02,26.8198039532,0,4.82424889287,4.64849778573,8,3.17921996117,52.165.35.82,10
1465538477.38,28.4577460289,0,4.82424889287,4.64849778573,8,1.54027891159,52.165.35.82,11
1465538482.9,27.9363739491,0,4.82424889287,4.64849778573,8,2.06074810028,52.165.35.82,12
1465538489.69,26.1506040096,0,4.82424889287,4.64849778573,8,3.36141395569,52.165.35.82,13
1465538493.28,27.5624821186,0,4.82424889287,4.64849778573,8,2.43593883514,52.165.35.82,14
1465538501.46,24.3797459602,0,4.82424889287,4.64849778573,8,5.61840200424,52.165.35.82,15
1465538503.44,27.3973579407,0,4.82424889287,4.64849778573,8,1.98227906227,52.165.35.82,16
1465538507.68,28.1547920704,0,4.82424889287,4.64849778573,8,1.31084990501,52.165.35.82,17
1465538512.72,28.1164939404,0,4.82424889287,4.64849778573,8,1.88064599037,52.165.35.82,18
1465538517.67,28.1673109531,0,4.82424889287,4.64849778573,8,1.82945513725,52.165.35.82,19
1465538523.86,26.9733450413,0,4.82424889287,4.64849778573,8,3.02327489853,52.165.35.82,20
1465538528.89,26.9516260624,0,4.82424889287,4.64849778573,8,2.62388586998,52.165.35.82,21
1465538534.74,26.0945179462,0,4.82424889287,4.64849778573,8,3.90316700935,52.165.35.82,22
1465538543.34,22.4938421249,0,4.82424889287,4.64849778573,8,7.50501894951,52.165.35.82,23
1465538546.94,23.8998639584,0,4.82424889287,4.64849778573,8,3.59386897087,52.165.35.82,24
1465538550.13,25.7109570503,0,4.82424889287,4.64849778573,8,2.7710108757,52.165.35.82,25
1465538553.75,27.0847089291,0,4.82424889287,4.64849778573,8,2.91421413422,52.165.35.82,26
1465538559.02,26.8173398972,0,4.82424889287,4.64849778573,8,3.18080306053,52.165.35.82,27
1465538564.03,26.8071250916,0,4.82424889287,4.64849778573,8,3.19089984894,52.165.35.82,28
1465538568.95,26.8896389008,0,4.82424889287,4.64849778573,8,2.62003612518,52.165.35.82,29
1465538574.82,26.0141019821,0,4.82424889287,4.64849778573,8,3.98371911049,52.165.35.82,30
1465538578.7,27.138972044,0,4.82424889287,4.64849778573,8,2.86015796661,52.165.35.82,31
1465538584.7,26.1340019703,0,4.50526057053,4.01052114105,7,3.8640229702,52.165.35.82,32
1465538590.41,25.4293780327,0,4.82424889287,4.64849778573,8,4.11026906967,52.165.35.82,33
1465538592.75,28.0850629807,0,4.82424889287,4.64849778573,8,1.91431498528,52.165.35.82,34
